relative_path,note,note_obsidian,attachment,quarantined,extract_status,size
团队管理/Amazon团队架构思维导图.pdf,10_亚马逊知识库同步/团队管理/Amazon团队架构思维导图.md,10_亚马逊知识库同步/团队管理/Amazon团队架构思维导图,Attachments/亚马逊知识库原件/团队管理/Amazon团队架构思维导图.pdf,no,ok,1941612
团队管理/【03管理】AI提示词库-绩效面谈SOP.pdf,10_亚马逊知识库同步/团队管理/【03管理】AI提示词库-绩效面谈SOP.md,10_亚马逊知识库同步/团队管理/【03管理】AI提示词库-绩效面谈SOP,Attachments/亚马逊知识库原件/团队管理/【03管理】AI提示词库-绩效面谈SOP.pdf,no,ok,834432
团队管理/【03管理】亚马逊团队薪酬&岗位职责模版.xlsx,10_亚马逊知识库同步/团队管理/【03管理】亚马逊团队薪酬&岗位职责模版.md,10_亚马逊知识库同步/团队管理/【03管理】亚马逊团队薪酬&岗位职责模版,Attachments/亚马逊知识库原件/团队管理/【03管理】亚马逊团队薪酬&岗位职责模版.xlsx,no,ok,17703
团队管理/【03管理】亚马逊运营主管考核与绩效模版.xlsx,10_亚马逊知识库同步/团队管理/【03管理】亚马逊运营主管考核与绩效模版.md,10_亚马逊知识库同步/团队管理/【03管理】亚马逊运营主管考核与绩效模版,Attachments/亚马逊知识库原件/团队管理/【03管理】亚马逊运营主管考核与绩效模版.xlsx,no,ok,24433
团队管理/亚马逊公司岗位绩效考核表.xlsx,10_亚马逊知识库同步/团队管理/亚马逊公司岗位绩效考核表.md,10_亚马逊知识库同步/团队管理/亚马逊公司岗位绩效考核表,Attachments/亚马逊知识库原件/团队管理/亚马逊公司岗位绩效考核表.xlsx,no,ok,51088
团队管理/亚马逊团队绩效评估表.xlsx,10_亚马逊知识库同步/团队管理/亚马逊团队绩效评估表.md,10_亚马逊知识库同步/团队管理/亚马逊团队绩效评估表,Attachments/亚马逊知识库原件/团队管理/亚马逊团队绩效评估表.xlsx,no,ok,62332
团队管理/亚马逊运营主管KPI绩效考核表.xlsx,10_亚马逊知识库同步/团队管理/亚马逊运营主管KPI绩效考核表.md,10_亚马逊知识库同步/团队管理/亚马逊运营主管KPI绩效考核表,Attachments/亚马逊知识库原件/团队管理/亚马逊运营主管KPI绩效考核表.xlsx,no,ok,60554
团队管理/亚马逊运营人员KPI绩效考核表.xls,10_亚马逊知识库同步/团队管理/亚马逊运营人员KPI绩效考核表.md,10_亚马逊知识库同步/团队管理/亚马逊运营人员KPI绩效考核表,Attachments/亚马逊知识库原件/团队管理/亚马逊运营人员KPI绩效考核表.xls,no,metadata_only,35840
团队管理/周报模板.xlsx,10_亚马逊知识库同步/团队管理/周报模板.md,10_亚马逊知识库同步/团队管理/周报模板,Attachments/亚马逊知识库原件/团队管理/周报模板.xlsx,no,ok,377744
团队管理/客服板块售后培训.pptx,10_亚马逊知识库同步/团队管理/客服板块售后培训.md,10_亚马逊知识库同步/团队管理/客服板块售后培训,Attachments/亚马逊知识库原件/团队管理/客服板块售后培训.pptx,no,ok,4044811
团队管理/跨境电商绩效考核制度.xls,10_亚马逊知识库同步/团队管理/跨境电商绩效考核制度.md,10_亚马逊知识库同步/团队管理/跨境电商绩效考核制度,Attachments/亚马逊知识库原件/团队管理/跨境电商绩效考核制度.xls,no,metadata_only,31232
团队管理/项目投入产出测算表.xlsx,10_亚马逊知识库同步/团队管理/项目投入产出测算表.md,10_亚马逊知识库同步/团队管理/项目投入产出测算表,Attachments/亚马逊知识库原件/团队管理/项目投入产出测算表.xlsx,no,ok,46544
常用表格/2025.06.02启用-多站点新优惠券-LD-BD算法.xlsx,10_亚马逊知识库同步/常用表格/2025.06.02启用-多站点新优惠券-LD-BD算法.md,10_亚马逊知识库同步/常用表格/2025.06.02启用-多站点新优惠券-LD-BD算法,Attachments/亚马逊知识库原件/常用表格/2025.06.02启用-多站点新优惠券-LD-BD算法.xlsx,no,ok,22112
常用表格/2025亚马逊Listing新规标题自查表.xlsx,10_亚马逊知识库同步/常用表格/2025亚马逊Listing新规标题自查表.md,10_亚马逊知识库同步/常用表格/2025亚马逊Listing新规标题自查表,Attachments/亚马逊知识库原件/常用表格/2025亚马逊Listing新规标题自查表.xlsx,no,ok,20768
常用表格/2025年最新秒杀最低价自动计算表V2.xlsx,10_亚马逊知识库同步/常用表格/2025年最新秒杀最低价自动计算表V2.md,10_亚马逊知识库同步/常用表格/2025年最新秒杀最低价自动计算表V2,Attachments/亚马逊知识库原件/常用表格/2025年最新秒杀最低价自动计算表V2.xlsx,no,ok,544219
常用表格/CPC广告竞价计算器.xlsx,10_亚马逊知识库同步/常用表格/CPC广告竞价计算器.md,10_亚马逊知识库同步/常用表格/CPC广告竞价计算器,Attachments/亚马逊知识库原件/常用表格/CPC广告竞价计算器.xlsx,no,ok,11351
常用表格/亚马逊关键词跟踪表模板.xlsx,10_亚马逊知识库同步/常用表格/亚马逊关键词跟踪表模板.md,10_亚马逊知识库同步/常用表格/亚马逊关键词跟踪表模板,Attachments/亚马逊知识库原件/常用表格/亚马逊关键词跟踪表模板.xlsx,no,ok,288731
常用表格/亚马逊利润核算表.xlsx,10_亚马逊知识库同步/常用表格/亚马逊利润核算表.md,10_亚马逊知识库同步/常用表格/亚马逊利润核算表,Attachments/亚马逊知识库原件/常用表格/亚马逊利润核算表.xlsx,no,ok,39871
常用表格/亚马逊运营工具箱.xlsx,10_亚马逊知识库同步/常用表格/亚马逊运营工具箱.md,10_亚马逊知识库同步/常用表格/亚马逊运营工具箱,Attachments/亚马逊知识库原件/常用表格/亚马逊运营工具箱.xlsx,no,ok,13731
常用表格/售价利润计算模板.xlsx,10_亚马逊知识库同步/常用表格/售价利润计算模板.md,10_亚马逊知识库同步/常用表格/售价利润计算模板,Attachments/亚马逊知识库原件/常用表格/售价利润计算模板.xlsx,no,ok,51270
常用表格/库存分析-超出安全库存预警.xlsx,10_亚马逊知识库同步/常用表格/库存分析-超出安全库存预警.md,10_亚马逊知识库同步/常用表格/库存分析-超出安全库存预警,Attachments/亚马逊知识库原件/常用表格/库存分析-超出安全库存预警.xlsx,no,ok,56080
